business_id,name,address,city,state,postal_code,latitude,longitude,stars,review_count,is_open,attributes,categories,hours
xM6LoUcnpDpMBzXs_7dXAg,Fairfield Inn & Suites,719 E Baltimore Pike,Kennett Square,PA,19348,39.8562475317,-75.6946098804,3.0,37,1,"{'BusinessAcceptsCreditCards': 'True', 'WiFi': ""u'free'"", 'RestaurantsPriceRange2': '2'}","Hotels, Hotels & Travel, Event Planning & Services",
XTWGzxXdQN0DVVH2GPGwiA,Days Inn by Wyndham Reno South,"5851 S Virginia St, No.101",Reno,NV,89502,39.472575,-119.788467,2.0,27,0,"{'BusinessAcceptsCreditCards': 'True', 'WiFi': ""u'free'"", 'RestaurantsPriceRange2': '2'}","Hotels, Hotels & Travel, Event Planning & Services","{'Monday': '0:0-0:0', 'Tuesday': '0:0-0:0', 'Wednesday': '0:0-0:0', 'Thursday': '0:0-0:0', 'Friday': '0:0-0:0', 'Saturday': '0:0-0:0', 'Sunday': '0:0-0:0'}"
_d5OAxaxRPsivgYbBq7U1A,Hyatt Place Philadelphia/King of Prussia,440 American Ave,King of Prussia,PA,19406,40.0944575489,-75.3974799022,3.5,62,1,"{'BusinessAcceptsCreditCards': 'True', 'WiFi': ""u'free'"", 'RestaurantsPriceRange2': '2'}","Hotels, Event Planning & Services, Hotels & Travel","{'Monday': '0:0-0:0', 'Tuesday': '0:0-0:0', 'Wednesday': '0:0-0:0', 'Thursday': '0:0-0:0', 'Friday': '0:0-0:0', 'Saturday': '0:0-0:0', 'Sunday': '0:0-0:0'}"
Zm8mlFu3n7xvcGuxDYZomw,Home2 Suites by Hilton Ridley Park Philadelphia Airport South,145 Stewart Ave,Ridley Park,PA,19078,39.8698840234,-75.3193918138,4.0,6,1,,"Event Planning & Services, Hotels & Travel, Hotels","{'Monday': '0:0-0:0', 'Tuesday': '0:0-0:0', 'Wednesday': '0:0-0:0', 'Thursday': '0:0-0:0', 'Friday': '0:0-0:0', 'Saturday': '0:0-0:0', 'Sunday': '0:0-0:0'}"
XIhYNbFGpBLLnQ44uoO4_w,Microtel Inn & Suites by Wyndham West Chester,500 Willowbrook Lane,West Chester,PA,19382,39.9433369,-75.5862979,1.5,47,1,"{'RestaurantsPriceRange2': '2', 'BusinessAcceptsCreditCards': 'True', 'WiFi': ""u'free'""}","Hotels, Event Planning & Services, Hotels & Travel",
KBDlQpRaxMDTGcZwp2HLEw,Courtyard by Marriott Reno,6855 South Virginia Street,Reno,NV,89511,39.4643314887,-119.7849038243,3.0,105,1,"{'RestaurantsPriceRange2': '2', 'BusinessAcceptsCreditCards': 'True', 'WiFi': ""u'free'"", 'BusinessAcceptsBitcoin': 'False', 'DogsAllowed': 'False', 'WheelchairAccessible': 'True'}","Hotels & Travel, Event Planning & Services, Venues & Event Spaces, Hotels","{'Monday': '0:0-0:0', 'Tuesday': '0:0-0:0', 'Wednesday': '0:0-0:0', 'Thursday': '0:0-0:0', 'Friday': '0:0-0:0', 'Saturday': '0:0-0:0', 'Sunday': '0:0-0:0'}"
bN2DgOhWgNDp3QvnN1D7nQ,Hampton Inn Philadelphia/Great Valley/Malvern,635 Lancaster Ave,Frazer,PA,19355,40.0347082532,-75.579573,4.0,22,1,"{'BusinessAcceptsCreditCards': 'True', 'WiFi': ""'free'"", 'RestaurantsPriceRange2': '2'}","Hotels, Hotels & Travel, Event Planning & Services","{'Monday': '0:0-0:0', 'Tuesday': '0:0-0:0', 'Wednesday': '0:0-0:0', 'Thursday': '0:0-0:0', 'Friday': '0:0-0:0', 'Saturday': '0:0-0:0', 'Sunday': '0:0-0:0'}"
TkHED8drwQYycuzFhrVCnA,Hilton El Conquistador,10700 N La Canada Dr,Tucson,AZ,85737,32.4017383,-110.9955054,3.0,16,1,"{'GoodForKids': 'False', 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': True}""}","Active Life, Sports Clubs, Golf",
TgbI5_wXWa82NBVwkvC0yQ,Courtyard by Marriott Philadelphia Plymouth Meeting,651 Fountain Road,Plymouth Meeting,PA,19462,40.1220610426,-75.2834014577,3.0,39,1,"{'RestaurantsPriceRange2': '2', 'DogsAllowed': 'False', 'BusinessAcceptsBitcoin': 'False', 'BusinessAcceptsCreditCards': 'True', 'WiFi': ""u'paid'"", 'WheelchairAccessible': 'True'}","Hotels & Travel, Event Planning & Services, Hotels, Venues & Event Spaces","{'Monday': '0:0-0:0', 'Tuesday': '0:0-0:0', 'Wednesday': '0:0-0:0', 'Thursday': '0:0-0:0', 'Friday': '0:0-0:0', 'Saturday': '0:0-0:0', 'Sunday': '0:0-0:0'}"
jTI5Xjk27An8ceJ6VwpXiQ,DoubleTree by Hilton Hotel Philadelphia Center City,237 S Broad St,Philadelphia,PA,19107,39.9479028004,-75.1640327275,3.0,338,1,"{'WiFi': ""u'paid'"", 'RestaurantsPriceRange2': '2', 'BusinessAcceptsCreditCards': 'True', 'BusinessAcceptsBitcoin': 'False', 'DogsAllowed': 'False'}","Hotels, Event Planning & Services, Caterers, Hotels & Travel","{'Monday': '0:0-0:0', 'Tuesday': '0:0-0:0', 'Wednesday': '0:0-0:0', 'Thursday': '0:0-0:0', 'Friday': '0:0-0:0', 'Saturday': '0:0-0:0', 'Sunday': '0:0-0:0'}"
zJErbOQMKX-MwHs_ulV7DA,Philadelphia Marriott Old City,"One Dock St, 2nd and Walnut St",Philadelphia,PA,19106,39.9452460633,-75.1433300972,3.0,217,1,"{'RestaurantsPriceRange2': '3', 'BusinessAcceptsCreditCards': 'True', 'WiFi': ""u'paid'"", 'BusinessAcceptsBitcoin': 'False', 'DogsAllowed': 'True'}","Event Planning & Services, Hotels, Hotels & Travel, Venues & Event Spaces","{'Monday': '0:0-0:0', 'Tuesday': '0:0-0:0', 'Wednesday': '0:0-0:0', 'Thursday': '0:0-0:0', 'Friday': '0:0-0:0', 'Saturday': '0:0-0:0', 'Sunday': '0:0-0:0'}"
