review_id,user_id,business_id,stars,useful,funny,cool,text,date
ehd9wCm_GUlLHsS3OUPBQw,uvePkSu2gQgZFLsqApowlg,jTI5Xjk27An8ceJ6VwpXiQ,3,0,0,0,"Booked a 1 King Bed Executive on the 24th floor and the view of the city from that high above was amazing. However, I had a couple of problems with the professionalism of the staff which is why I rated three stars instead of five. I can't help but make this personal and say that I wasn't treated with equal warmness and courtesy because of my appearance. Coming from a red eye flight, I arrived at the hotel with sweatpants and frazzled hair. I do have tattoos and I'm in my early twenties so I felt like the staff regarded me as not as significant as the other guests. I had a couple of rude stares initially and when I visited the executive lounge (which requires a key) for some breakfast I received an almost, ""Who let you in?"" look from the woman serving breakfast. With that said, the room service operator seemed quite irritated whenever she took my orders but the actual room service deliverers were quite friendly, so I made sure to tip them well. Food and beverage could do some work, it's the not the worst but definitely not the best, especially for the price. I had free wi-fi with my stay, so that was very nice and convenient. Overall, I would stay again at the DoubleTree in Center City just because my stay wasn't awful but the staff definitely needs to brush up on their services techniques and courtesies. Just because someone is young and underdressed and has tattoos does not make them less worthy of respect. My money is as good as anyone else's.",2015-05-12 19:43:45
qM9tvbjoosqC3k4aEOJHJA,CPr2D6YWNISnw7Ah6VNQTw,-1ueCbvIpUPi8KT95ETTKw,2,3,0,0,"Had spent 2013 New Year there for 3 days. General speaking, the facility is OK but the management and service is not professional. When I talk to staff, I feel like they are more like staff who operates a family Inn or a lodge...

Good things: 
1. complementary breakfast, good quality and variety
2. facility is good, lobby is comfortable, in-door pool is kids friendly, a good out-door jacuzzy
3. location is convenient for car and air transportation

Bad things: 
1. very loud heater in room
2. unprofessional receptionists, apparently they were not trained, a few examples: a young boy staff was collecting towers in the in-door pool, one tower was used by some guest to clean the car maybe so has lots of dirt on it, the staff said bad words in front of some kids nearby; I one time pass-by the lobby and hear some staff members were complaining about some customers loudly; housekeeping on busy hours occupied both elevators for a couple of hours and long queues were accumulated on almost every floor. On 12/31/12 the breakfast was gone some fast and starting from 8:30am the refill was kind of stopped. The promised breakfast ends at 9:30am

Wouldn't recommend is you have other choices.",2013-01-02 22:29:32
DupKx_bHat8DOzEaA6V0XA,R9a36DCsFDX-e55gMxh0VA,jTI5Xjk27An8ceJ6VwpXiQ,1,0,0,0,"Managed more like Motel 6 than Hilton property. Long check-in lines due to no priority access line for Hilton Honors members. Surly, rude room service staff berates hotel guests who have questions. Property in borderline rundown condition. No accountability by management.",2018-07-09 00:21:03
qiEqCqIjjm33eIUB_6uNyg,LSye-jcIviXLABO1XyeFlA,zJErbOQMKX-MwHs_ulV7DA,1,0,1,0,"From the rude condescending tone of the front desk personnel upon arriving at the hotel to check in on our reservation, the unhelpful service personnel by phone as I entered our room and it reeked of smoke.  The random dirty socks that were left in the room, generally shabby room with exposed thermostat, or the difficultly getting the dog bowls from valet service.  This was an abhorrent experience from walking in to leaving.",2016-06-12 13:49:31
cPuWfIPjrnPzolHcBpaD7Q,ausf1H7iafv0CFXYOLWSQw,05qjaaj-IZnfWA3Jwf1aBw,1,2,0,0,TERRIBLE FRONT DESK!!!  Rudest people I have ever met. Trying to check in and all they cared about was talking and ordering their own lunch!  I had to wait while the girl places her order before I was waited on.,2016-07-06 23:57:08
bA39vubxqVS3zRdsjYEpow,XW9qEzPMK80gzcsmwmLOzg,-1ueCbvIpUPi8KT95ETTKw,4,1,1,0,"Beautiful facility. Clean and Nicely upgraded room. No bed bugs, lol.The breakfast was certainly not your run of the mill, gloopy mess. He eggs taste like eggs and the selection is ample. Loved the little cereal boxes and milk you can take for the little ones. There was always plenty of food when I went and the to go Seattles best coffee was genius! Most of the staff was friendly; one suggested we take their shuttle to the airport, which is across the street and then shuttle from there to one of the casinos. As we were carless, this was much appreciated. The free ice was helpful, as we kept a nice ice chest with plenty of drinks and the soaps, shower, fridge were much appreciated. The pressure on the water was a little much for my toddler but I enjoyed it. Knocked off a star because the pool was only open for a limited time. I wish I could have enjoyed maybe a few extended hours during my trip there. Pool closes at 10 and with the busy schedule we had, we never made it over there. Also, while most staff was friendly there were some glaring front desk staff that made this place seem quite stuffy and unwelcoming for us. We paid over $600 for the three nights we were there. Certainly expected a much more welcoming staff for that price. We will not be staying here in the future because to me, customer service is EVERYTHING. If I feel uncomfortable walking through the lobby to my room, why come back?",2017-09-09 17:45:19
poqQvJZsJoD1qacuuVheGA,hLKjPz11BznYjclomCEaQw,jTI5Xjk27An8ceJ6VwpXiQ,1,2,0,0,"*do not stay here*

Oh how lovely to wake up Tuesday morning and be peppered with insect bites after sleeping in the second bed in my hotel room at The DoubleTree by Hilton Center City Philadelphia. What else is lovely is how rude and inconsiderate the staff has been on the matter. How they have the nerve to say to me, ""where else have you been?"" Where they have the gaul to lock me out of my room as I handle the matter. You told my boss I was angry and making a scene and drawing other guests into, which is absolutely not true. Why? Because I'm a black woman? Maybe I should have made a scene because clearly the diplomatic route is pointless. Where they insist I am lying because they can't find a bed bug when they ""inspect."" Absence of evidence is not proof. You know what is proof? The bites in these photos that I did not have Monday night when I showered and went to bed, but definitely had Tuesday morning when I woke up and now on Wednesday are swollen enough to make movements difficult. Where they send a man to a woman's room to come and inspect my things who then mansplains to me about bed bugs. The service at this establishment is already awful and I could let pretty much all of that slide, but I have been HARMED by this hotel and the staff's behavior is just kneading the harm. I have stayed at this chain before and enjoyed my stay (Scottsdale location is stellar!), so I was looking forward to my stay at The DoubleTree by Hilton City Center Philadelphia. Apparently my expectations were too high for even subpar service. Whatever happened to, ""if you're not satisfied with your stay, let us know and we'll make it right?"" So reads the sign in all your guest rooms. I did let you know and you belittled me, embarrassed me, ignored me, locked me out, and then gave me a sack of your cookies on my way out the door. I've had better experiences at hostels! Time to call the Department of Health. BUT FOR sleeping in this bed, at this hotel, I would not have hot welts the size of my hand on my torso and I wouldn't have to burn all my things. Now I am making a scene.",2017-06-08 00:07:30
XgEHrMlpI_aUv9mU6UE_jQ,iV4iNc1nquv-zUdTwJBH1Q,zJErbOQMKX-MwHs_ulV7DA,2,0,0,0,"If you are going to Philly and wanting to see historical sites this is an excellent location.  The rooms are clean and the prices are what you would expect to pay for a nice place in such a desirable location.  

The thing this place needs to work on is service.  From the bell hops, to check in to the concierge to bartender to the waitresses.  The manager should be put in a historical stockade because if their service and attitude is that poor throughout the entire hotel it must stem from the leadership.  

We got out of our car and the bell hop told us how to take our things out of the car and he told me to move my tailgate so he could maneuver around easier.  He told us valet was too expensive but he had difficulty describing where we needed to park and it was two blocks away.  

At check in we were told our rooms were not ready but it was our fault because we needed to have rooms next to each other.  She wasn't the least bit concerned the rooms weren't ready.  She told us green at some hotels means one thing but at this hotel it means no maid service at all.  

The rooms are nice and large.  Beds and bedding very nice.  Bathroom would've failed the q-tip test.  The air exchange was disgusting.  Water is free with two bottles, but sitting right next to a large bottle that is $2.  Looked like a set up!  Wi-fi is a charge, typical, but not always.  

The gym is just a few treadmills.  (Not that we expect a full gym but this was less than hotel average.)

The club didn't open until 5:30 for happy hour.  It may be 5 o'clock somewhere but not at this place!  Snacks were not replaced at night when you need them.  Breakfast is slim pickings but expected free cuisine.  

We asked the front desk a simple question about National Park tickets and she directed us to the Concierge Desk.  He was talking to another employee and they made us wait forever to finish their conversation.  Then he seemed bothered.  

After a concert we returned to the hotel around 10pm for a night cap and the bartender didn't say hello, didn't smile but told us that this would be our only drink because he was shutting down.  Not very smart, we tip well, and there were a dozen people enjoying the Olympics and spending money.  

So the bottom line is this...this is a nice clean hotel, and in a great location and priced right for the area...HOWEVER...the staff and service are so rude it was a struggle to even give 2 stars.  About the worst we have ever had.  Service makes all the difference.  Fire the manager and start are over with hiring.  Not up to Sheraton standards.",2016-08-14 22:00:13
G3yDORZ00fTqiNA0zo4cpw,mmCOgzbtJlprGN6C4ZXmhQ,_d5OAxaxRPsivgYbBq7U1A,3,0,0,0,"The hotel was okay.  The night I stayed here wasn't busy at all.

The hotel is located in a part of King of Prussia that really isn't convenient to the rest of King of Prussia.  And the Pennsylvania Turnpike is immediately behind the hotel.  Since my room overlooked the Turnpike, I did at times a low hum at times through the course of the evening.  If I stayed here again, I would ask for a room that didn't face the Turnpike.

The room itself was nice.  The bed was in a back part and the sofa was in the front part.  A piece of furniture divides the two parts, in which you will find the ice bucket.  On this piece of furniture is the television, which swiveled back and forth so you could watch either on bed or on the sofa.

With the ice buckets were two glasses.  I hate glasses in a hotel.  In all of the hotels that I've stayed, I've never seen a housekeeper take the glasses down to be washed.  So I am sure that they just rinse them off in the sink.  Even though it looks tacky, I would much prefer plastic cups sealed in plastic.

Also you won't have to worry about scalding yourself in the shower because it took almost 10 minutes to warm up to a decent temperature.  And the hotel wasn't busy.  I could only imagine if the place was busy.

The free breakfast isn't something to look forward to.  There were 4 little pancakes out on a skillet.  I took 2 and both had the texture of being out for a while.  They also a couple of little breakfast sandwiches, they looked like they have been out for a while.

There was free wi-fi.  And for free wi-fi, it actually worked very well.",2014-01-02 21:18:30
qDxMbz09ykt7Nch6GUpNKA,8mt8PkO97_i-K0QIN0e4-A,TgbI5_wXWa82NBVwkvC0yQ,2,1,1,0,"We have stayed here several times before and I had no problems.
But one time in the middle March  2017 we did.One huge problem  is the customer service.
Before checking in, I called to see if our room was available   I spoke to a man who was later identified as Josh ( last name initial T)- a manager or supervisor. I normally in case we want an early check in. I also ask for extra towels. My gf and I both have health issues and require a fair amount of extra towels. When  I asked  a specific amount ,  Josh stated that they could give a few extra towels but they couldn't.. They claimed they  couldn't provide that many .  But that turns out it wasn't the case. I asked if they had a full house the night before and he said yes. It doesn't seem to be the case though.
When I checked in I spoke to a  different person- a woman  who wrote down the towels I asked for and sent us up to our room assuring us that they would be send up.

That also wasn't the case

 10 min after we were in the room, Josh called and they couldn't send up that many
I said I  have been to this hotel before and they always ( at least in the past - had no problem providing me with my  needed amount of towels. I was just there a week earlier and they were fine with the number of towels. The manager Josh stated that he remembers me and he was the one who provided them., and claimed erroneously that the towels I asked for this time were MORE than  last week. This wasn't true because I still had to settle for less than last weeks amount. I reminded me we have medical issues. Josh also became somewhat rude to me and had the nerve to ask me ""What do you need all these towels for specifically?"" I said once again that we have medical issues and that should be reason enough. This guy acted like he needed to speak to my doctor or something to get a valid reason why I was asking for some extra towel. We feel that we were  a little discriminated against before we have health issues.,

He said we can give you some more towels( nowhere near the amount I needed)  But if we wanted more, then we would have to give us ALL of the soiled ones FIRST!!. I got tired of arguing and took the towels that he delivered 10 min later.
Also there are no towel hooks in the bathroom  so even if you WANT to reuse a towel, you cant let it dry! Yet this guy expects me to reuse old towels when we need many dry ones.We had to actually hang them off a closet door.

 Other major problem was the room

 We noticed that for some reason the air conditioner wasn't working. We had it on cold at first because when we first arrived the heat was blasting and it felt like an oven in there. It's the middle of winter and we have unseasonably warm days though and so I turned the cold air on for a bit. But later that day  the AC didn't seem to be under the control of the thermostat. It wouldn't turn on/ or off or adjust the temp.e talked the front desk. They send a woman up( not an engineer) who appeared to be in housekeeping- she looked like the head housekeeper I asked if she could fix it- she said she couldn't . She said the engineer wasn't there( this was 6pm on a Friday and they don't have anyone working in case something breaks?!!  This hotel has insufficient staff in the evening it seems.

She also said that we could change rooms. We reluctantly agreed although we were disappointed that we had to.. She left and we packed up  EVERYTHING and got dressed..10 min later, Josh showed up and actually said he knows what the problem is.

There is a wireless thermostat linked to a modified older AC /Heating it by the window( see photo)

Its in a wall near the bathroom between the front door and the rest of the room area(see photo)

The entertainment center/ desk/ dresser drawer console  in the room has a sliding table that can go in and out near a chair so you can do your work.(see photo)
The only problem is that if the table is open or if a chair is blocking the AC( which it easily can) or anything too bulky is on the desk, the signal going from the wireless thermostat to the AC is BLOCKED and will not work!!!

The black sensor  is inside the airvent to the left in the AC ( see photo)
That's what happened then. We had to remove most of our stuff off the table which was inconvenient because we couldn't put things anywhere else in a room that just had a bed, the console, and sofa/chair,

This is a very poor room layout! This is ridiculous!

 It's a wireless  thermostat.!!! It can be placed is a better position so nothing can block the signals. We cant be the first person to have this issue !

Why the person in the front desk didn't know about this was beyond me. Or the housekeeper who came up. Poor training- Very poor indeed.. Only the manager knew the problem and by then we had to repack everything which was a pain.

The hottub was extremely too hot. We have stayed at many other hotels int he area and this was like we were being boiled alive.  We mentioned it to the front desk who said it was only 10",2017-03-19 19:04:32
